SEASON_TM,SEASON,CONFERENCE,DIVISION,TEAM,TM,PLAYOFFS,GP,W,L,T,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW
1999NJD,1999,Eastern,Atlantic,New Jersey Devils,NJD,Y,82,47,24,11,,105,0.64,248,196,0.62,-0.02,,
1999PHI,1999,Eastern,Atlantic,Philadelphia Flyers,PHI,Y,82,37,26,19,,93,0.567,231,196,0.43,0,,
1999PIT,1999,Eastern,Atlantic,Pittsburgh Penguins,PIT,Y,82,38,30,14,,90,0.549,242,225,0.21,0,,
1999NYR,1999,Eastern,Atlantic,New York Rangers,NYR,N,82,33,38,11,,77,0.47,217,227,-0.08,0.04,,
1999NYI,1999,Eastern,Atlantic,New York Islanders,NYI,N,82,24,48,10,,58,0.354,194,244,-0.55,0.06,,
1999OTT,1999,Eastern,Northeast,Ottawa Senators,OTT,Y,82,44,23,15,,103,0.628,239,179,0.73,0,,
1999TOR,1999,Eastern,Northeast,Toronto Maple Leafs,TOR,Y,82,45,30,7,,97,0.591,268,231,0.46,0.01,,
1999BOS,1999,Eastern,Northeast,Boston Bruins,BOS,Y,82,39,30,13,,91,0.555,214,181,0.4,0,,
1999BUF,1999,Eastern,Northeast,Buffalo Sabres,BUF,Y,82,37,28,17,,91,0.555,207,175,0.41,0.02,,
1999MTL,1999,Eastern,Northeast,Montreal Canadiens,MTL,N,82,32,39,11,,75,0.457,184,209,-0.26,0.05,,
1999CAR,1999,Eastern,Southeast,Carolina Hurricanes,CAR,Y,82,34,30,18,,86,0.524,210,202,0.1,0,,
1999FLA,1999,Eastern,Southeast,Florida Panthers,FLA,N,82,30,34,18,,78,0.476,210,228,-0.21,0.01,,
1999WSH,1999,Eastern,Southeast,Washington Capitals,WSH,N,82,31,45,6,,68,0.415,200,218,-0.21,0.01,,
1999TBL,1999,Eastern,Southeast,Tampa Bay Lightning,TBL,N,82,19,54,9,,47,0.287,179,292,-1.28,0.09,,
1999DET,1999,Western,Central,Detroit Red Wings,DET,Y,82,43,32,7,,93,0.567,245,202,0.46,-0.06,,
1999STL,1999,Western,Central,St. Louis Blues,STL,Y,82,37,32,13,,87,0.53,237,209,0.29,-0.05,,
1999CHI,1999,Western,Central,Chicago Blackhawks,CHI,N,82,29,41,12,,70,0.427,202,248,-0.55,0.01,,
1999NSH,1999,Western,Central,Nashville Predators,NSH,N,82,28,47,7,,63,0.384,190,261,-0.85,0.02,,
1999COL,1999,Western,Northwest,Colorado Avalanche,COL,Y,82,44,28,10,,98,0.598,239,205,0.34,-0.08,,
1999EDM,1999,Western,Northwest,Edmonton Oilers,EDM,Y,82,33,37,12,,78,0.476,230,226,0.02,-0.03,,
1999CGY,1999,Western,Northwest,Calgary Flames,CGY,N,82,30,40,12,,72,0.439,211,234,-0.3,-0.02,,
1999VAN,1999,Western,Northwest,Vancouver Canucks,VAN,N,82,23,47,12,,58,0.354,192,258,-0.77,0.04,,
1999DAL,1999,Western,Pacific,Dallas Stars,DAL,Y,82,51,19,12,,114,0.695,236,168,0.76,-0.07,,
1999PHX,1999,Western,Pacific,Phoenix Coyotes,PHX,Y,82,39,31,12,,90,0.549,205,197,0.08,-0.02,,
1999MDA,1999,Western,Pacific,Mighty Ducks of Anaheim,MDA,Y,82,35,34,13,,83,0.506,215,206,0.1,-0.01,,
1999SJS,1999,Western,Pacific,San Jose Sharks,SJS,Y,82,31,33,18,,80,0.488,196,191,0.04,-0.02,,
1999LAK,1999,Western,Pacific,Los Angeles Kings,LAK,N,82,32,45,5,,69,0.421,189,222,-0.38,0.03,,
2000PHI,2000,Eastern,Atlantic,Philadelphia Flyers,PHI,Y,82,45,22,12,3,105,0.64,237,179,0.58,-0.13,0.622,
2000NJD,2000,Eastern,Atlantic,New Jersey Devils,NJD,Y,82,45,24,8,5,103,0.628,251,203,0.46,-0.13,0.598,
2000PIT,2000,Eastern,Atlantic,Pittsburgh Penguins,PIT,Y,82,37,31,8,6,88,0.537,241,236,-0.03,-0.09,0.5,
2000NYR,2000,Eastern,Atlantic,New York Rangers,NYR,N,82,29,38,12,3,73,0.445,218,246,-0.39,-0.05,0.427,
2000NYI,2000,Eastern,Atlantic,New York Islanders,NYI,N,82,24,48,9,1,58,0.354,194,275,-1.02,-0.03,0.348,
2000TOR,2000,Eastern,Northeast,Toronto Maple Leafs,TOR,Y,82,45,27,7,3,100,0.61,246,222,0.25,-0.05,0.591,
2000OTT,2000,Eastern,Northeast,Ottawa Senators,OTT,Y,82,41,28,11,2,95,0.579,244,210,0.3,-0.12,0.567,
2000BUF,2000,Eastern,Northeast,Buffalo Sabres,BUF,Y,82,35,32,11,4,85,0.518,213,204,0.01,-0.1,0.494,
2000MTL,2000,Eastern,Northeast,Montreal Canadiens,MTL,N,82,35,34,9,4,83,0.506,196,194,-0.06,-0.09,0.482,
2000BOS,2000,Eastern,Northeast,Boston Bruins,BOS,N,82,24,33,19,6,73,0.445,210,248,-0.52,-0.06,0.409,
2000WSH,2000,Eastern,Southeast,Washington Capitals,WSH,Y,82,44,24,12,2,102,0.622,227,194,0.28,-0.13,0.61,
2000FLA,2000,Eastern,Southeast,Florida Panthers,FLA,Y,82,43,27,6,6,98,0.598,244,209,0.28,-0.15,0.561,
2000CAR,2000,Eastern,Southeast,Carolina Hurricanes,CAR,N,82,37,35,10,0,84,0.512,217,216,-0.1,-0.11,0.512,
2000TBL,2000,Eastern,Southeast,Tampa Bay Lightning,TBL,N,82,19,47,9,7,54,0.329,204,310,-1.34,-0.05,0.287,
2000ATL,2000,Eastern,Southeast,Atlanta Thrashers,ATL,N,82,14,57,7,4,39,0.238,170,313,-1.75,0,0.213,
2000STL,2000,Western,Central,St. Louis Blues,STL,Y,82,51,19,11,1,114,0.695,248,165,1.08,0.07,0.689,
2000DET,2000,Western,Central,Detroit Red Wings,DET,Y,82,48,22,10,2,108,0.659,278,210,0.88,0.05,0.646,
2000CHI,2000,Western,Central,Chicago Blackhawks,CHI,N,82,33,37,10,2,78,0.476,242,245,0.1,0.13,0.463,
2000NSH,2000,Western,Central,Nashville Predators,NSH,N,82,28,40,7,7,70,0.427,199,240,-0.36,0.14,0.384,
2000COL,2000,Western,Northwest,Colorado Avalanche,COL,Y,82,42,28,11,1,96,0.585,233,201,0.46,0.07,0.579,
2000EDM,2000,Western,Northwest,Edmonton Oilers,EDM,Y,82,32,26,16,8,88,0.537,226,212,0.22,0.05,0.488,
2000VAN,2000,Western,Northwest,Vancouver Canucks,VAN,N,82,30,29,15,8,83,0.506,227,237,-0.01,0.11,0.457,
2000CGY,2000,Western,Northwest,Calgary Flames,CGY,N,82,31,36,10,5,77,0.47,211,256,-0.42,0.13,0.439,
2000DAL,2000,Western,Pacific,Dallas Stars,DAL,Y,82,43,23,10,6,102,0.622,211,184,0.41,0.08,0.585,
2000LAK,2000,Western,Pacific,Los Angeles Kings,LAK,Y,82,39,27,12,4,94,0.573,245,228,0.3,0.09,0.549,
2000PHX,2000,Western,Pacific,Phoenix Coyotes,PHX,Y,82,39,31,8,4,90,0.549,232,228,0.15,0.1,0.524,
2000SJS,2000,Western,Pacific,San Jose Sharks,SJS,Y,82,35,30,10,7,87,0.53,225,214,0.23,0.1,0.488,
2000MDA,2000,Western,Pacific,Mighty Ducks of Anaheim,MDA,N,82,34,33,12,3,83,0.506,217,227,0.02,0.14,0.488,
2001NJD,2001,Eastern,Atlantic,New Jersey Devils,NJD,Y,82,48,19,12,3,111,0.677,295,195,1.1,-0.12,0.659,
2001PHI,2001,Eastern,Atlantic,Philadelphia Flyers,PHI,Y,82,43,25,11,3,100,0.61,240,207,0.33,-0.07,0.591,
2001PIT,2001,Eastern,Atlantic,Pittsburgh Penguins,PIT,Y,82,42,28,9,3,96,0.585,281,256,0.23,-0.07,0.567,
2001NYR,2001,Eastern,Atlantic,New York Rangers,NYR,N,82,33,43,5,1,72,0.439,250,290,-0.53,-0.04,0.433,
2001NYI,2001,Eastern,Atlantic,New York Islanders,NYI,N,82,21,51,7,3,52,0.317,185,268,-1.02,0,0.299,
2001OTT,2001,Eastern,Northeast,Ottawa Senators,OTT,Y,82,48,21,9,4,109,0.665,274,205,0.74,-0.1,0.64,
2001BUF,2001,Eastern,Northeast,Buffalo Sabres,BUF,Y,82,46,30,5,1,98,0.598,218,184,0.35,-0.07,0.591,
2001TOR,2001,Eastern,Northeast,Toronto Maple Leafs,TOR,Y,82,37,29,11,5,90,0.549,232,207,0.25,-0.05,0.518,
2001BOS,2001,Eastern,Northeast,Boston Bruins,BOS,N,82,36,30,8,8,88,0.537,227,249,-0.27,0,0.488,
2001MTL,2001,Eastern,Northeast,Montreal Canadiens,MTL,N,82,28,40,8,6,70,0.427,206,232,-0.35,-0.03,0.39,
2001WSH,2001,Eastern,Southeast,Washington Capitals,WSH,Y,82,41,27,10,4,96,0.585,233,211,0.16,-0.1,0.561,
2001CAR,2001,Eastern,Southeast,Carolina Hurricanes,CAR,Y,82,38,32,9,3,88,0.537,212,225,-0.24,-0.08,0.518,
2001FLA,2001,Eastern,Southeast,Florida Panthers,FLA,N,82,22,38,13,9,66,0.402,200,246,-0.6,-0.04,0.348,
2001ATL,2001,Eastern,Southeast,Atlanta Thrashers,ATL,N,82,23,45,12,2,60,0.366,211,289,-0.99,-0.04,0.354,
2001TBL,2001,Eastern,Southeast,Tampa Bay Lightning,TBL,N,82,24,47,6,5,59,0.36,201,280,-0.98,-0.01,0.329,
2001DET,2001,Western,Central,Detroit Red Wings,DET,Y,82,49,20,9,4,111,0.677,253,202,0.63,0.01,0.652,
2001STL,2001,Western,Central,St. Louis Blues,STL,Y,82,43,22,12,5,103,0.628,249,195,0.67,0.01,0.598,
2001NSH,2001,Western,Central,Nashville Predators,NSH,N,82,34,36,9,3,80,0.488,186,200,-0.11,0.06,0.47,
2001CHI,2001,Western,Central,Chicago Blackhawks,CHI,N,82,29,40,8,5,71,0.433,210,246,-0.36,0.08,0.402,
2001CBJ,2001,Western,Central,Columbus Blue Jackets,CBJ,N,82,28,39,9,6,71,0.433,190,233,-0.44,0.08,0.396,
2001COL,2001,Western,Northwest,Colorado Avalanche,COL,Y,82,52,16,10,4,118,0.72,270,192,0.95,0,0.695,
2001EDM,2001,Western,Northwest,Edmonton Oilers,EDM,Y,82,39,28,12,3,93,0.567,243,222,0.32,0.07,0.549,
2001VAN,2001,Western,Northwest,Vancouver Canucks,VAN,Y,82,36,28,11,7,90,0.549,239,238,0.08,0.07,0.506,
2001CGY,2001,Western,Northwest,Calgary Flames,CGY,N,82,27,36,15,4,73,0.445,197,236,-0.37,0.11,0.421,
2001MIN,2001,Western,Northwest,Minnesota Wild,MIN,N,82,25,39,13,5,68,0.415,168,210,-0.42,0.09,0.384,
2001DAL,2001,Western,Pacific,Dallas Stars,DAL,Y,82,48,24,8,2,106,0.646,241,187,0.68,0.02,0.634,
2001SJS,2001,Western,Pacific,San Jose Sharks,SJS,Y,82,40,27,12,3,95,0.579,217,192,0.36,0.06,0.561,
2001LAK,2001,Western,Pacific,Los Angeles Kings,LAK,Y,82,38,28,13,3,92,0.561,252,228,0.32,0.03,0.543,
2001PHX,2001,Western,Pacific,Phoenix Coyotes,PHX,N,82,35,27,17,3,90,0.549,214,212,0.07,0.05,0.53,
2001MDA,2001,Western,Pacific,Mighty Ducks of Anaheim,MDA,N,82,25,41,11,5,66,0.402,188,245,-0.6,0.1,.,
2002PHI,2002,Eastern,Atlantic,Philadelphia Flyers,PHI,Y,82,42,27,10,3,97,0.591,234,192,0.41,-0.11,0.573,
2002NYI,2002,Eastern,Atlantic,New York Islanders,NYI,Y,82,42,28,8,4,96,0.585,239,220,0.15,-0.08,0.561,
2002NJD,2002,Eastern,Atlantic,New Jersey Devils,NJD,Y,82,41,28,9,4,95,0.579,205,187,0.15,-0.07,0.555,
2002NYR,2002,Eastern,Atlantic,New York Rangers,NYR,N,82,36,38,4,4,80,0.488,227,258,-0.43,-0.05,0.463,
2002PIT,2002,Eastern,Atlantic,Pittsburgh Penguins,PIT,N,82,28,41,8,5,69,0.421,198,249,-0.66,-0.04,0.39,
2002BOS,2002,Eastern,Northeast,Boston Bruins,BOS,Y,82,43,24,6,9,101,0.616,236,201,0.33,-0.09,0.561,
2002TOR,2002,Eastern,Northeast,Toronto Maple Leafs,TOR,Y,82,43,25,10,4,100,0.61,249,207,0.44,-0.08,0.585,
2002OTT,2002,Eastern,Northeast,Ottawa Senators,OTT,Y,82,39,27,9,7,94,0.573,243,208,0.36,-0.07,0.53,
2002MTL,2002,Eastern,Northeast,Montreal Canadiens,MTL,Y,82,36,31,12,3,87,0.53,207,209,-0.1,-0.08,0.512,
2002BUF,2002,Eastern,Northeast,Buffalo Sabres,BUF,N,82,35,35,11,1,82,0.5,213,200,0.09,-0.07,0.494,
2002CAR,2002,Eastern,Southeast,Carolina Hurricanes,CAR,Y,82,35,26,16,5,91,0.555,217,217,-0.09,-0.09,0.524,
2002WSH,2002,Eastern,Southeast,Washington Capitals,WSH,N,82,36,33,11,2,85,0.518,228,240,-0.25,-0.1,0.506,
2002TBL,2002,Eastern,Southeast,Tampa Bay Lightning,TBL,N,82,27,40,11,4,69,0.421,178,219,-0.58,-0.08,0.396,
2002FLA,2002,Eastern,Southeast,Florida Panthers,FLA,N,82,22,44,10,6,60,0.366,180,250,-0.92,-0.07,0.329,
2002ATL,2002,Eastern,Southeast,Atlanta Thrashers,ATL,N,82,19,47,11,5,54,0.329,187,288,-1.27,-0.04,0.299,
2002DET,2002,Western,Central,Detroit Red Wings,DET,Y,82,51,17,10,4,116,0.707,251,187,0.83,0.05,0.683,
2002STL,2002,Western,Central,St. Louis Blues,STL,Y,82,43,27,8,4,98,0.598,227,188,0.54,0.07,0.573,
2002CHI,2002,Western,Central,Chicago Blackhawks,CHI,Y,82,41,27,13,1,96,0.585,216,207,0.19,0.08,0.579,
2002NSH,2002,Western,Central,Nashville Predators,NSH,N,82,28,41,13,0,69,0.421,196,230,-0.31,0.1,0.421,
2002CBJ,2002,Western,Central,Columbus Blue Jackets,CBJ,N,82,22,47,8,5,57,0.348,164,255,-0.97,0.14,0.317,
2002COL,2002,Western,Northwest,Colorado Avalanche,COL,Y,82,45,28,8,1,99,0.604,212,169,0.58,0.06,0.598,
2002VAN,2002,Western,Northwest,Vancouver Canucks,VAN,Y,82,42,30,7,3,94,0.573,254,211,0.59,0.07,0.555,
2002EDM,2002,Western,Northwest,Edmonton Oilers,EDM,N,82,38,28,12,4,92,0.561,205,182,0.34,0.06,0.537,
2002CGY,2002,Western,Northwest,Calgary Flames,CGY,N,82,32,35,12,3,79,0.482,201,220,-0.15,0.08,0.463,
2002MIN,2002,Western,Northwest,Minnesota Wild,MIN,N,82,26,35,12,9,73,0.445,195,238,-0.41,0.11,0.39,
2002SJS,2002,Western,Pacific,San Jose Sharks,SJS,Y,82,44,27,8,3,99,0.604,248,199,0.62,0.02,0.585,
2002PHX,2002,Western,Pacific,Phoenix Coyotes,PHX,Y,82,40,27,9,6,95,0.579,228,210,0.29,0.07,0.543,
